Venue Name,Venue Address,Venue Coordinates,Venue Types,Average Dwell Time
Michael Rosenfeld Gallery,"100 11th Ave New York, NY 10011 United States",40.746126499999995 -74.0076644,art_gallery,0
Ethan Cohen Gallery,"251 W 19th St New York, NY 10011 United States",40.7426069 -73.99912929999999,art_gallery,0
The Metropolitan Museum of Art,"1000 5th Ave New York, NY 10028 United States",40.7794366 -73.963244,"art_museum, arts_organization, museum, non_profit_organization, tourist_attraction",90
Serpentine Commons,"599 Van Duzer St Staten Island, NY 10304 United States",40.625298099999995 -74.0847886,hiking_area,0
Statue of Liberty,"New York, NY 10004 United States",40.6892494 -74.04450039999999,"historical_landmark, monument, tourist_attraction",60
The Rink At Rockefeller Center,"600 5th Avenue Rockefeller Center New York, NY 10020 United States",40.7586996 -73.978375,ice_skating_rink,0
Ellis Island National Museum of Immigration,"Ellis Island Bridge Jersey City, NJ 10280 United States",40.6992753 -74.0394328,museum,60
Museum of Arts and Design,"2 Columbus Cir New York, NY 10019 United States",40.767375 -73.9819472,"art_museum, gift_shop, tourist_attraction",0
Soho House New York,"29-35 9th Ave New York, NY 10014 United States",40.7406374 -74.00592309999999,"social_club, hotel",0
Frying Pan New York,"207 12th Ave New York, NY 10001 United States",40.752337999999995 -74.00946859999999,"restaurant, bar_and_grill, fish_and_chips_restaurant, oyster_bar_restaurant, seafood_restaurant",0
The Dairy Visitor Center and Gift Shop,"E 65th St New York, NY 10065 United States",40.7691158 -73.97369619999999,visitor_center,15
Grand Central Terminal,"89 E 42nd St New York, NY 10017 United States",40.7527262 -73.9772294,train_station,0
Asia Society and Museum,"725 Park Ave New York, NY 10021 United States",40.769973799999995 -73.96440199999999,"museum, tourist_attraction",60
"Cooper Hewitt, Smithsonian Design Museum","2 E 91st St New York, NY 10128 United States",40.7843958 -73.9578732,"museum, art_museum, historical_landmark, tourist_attraction",60
Morris-Jumel Mansion,"65 Jumel Terrace New York, NY 10032 United States",40.834454799999996 -73.9385727,"historical_place_museum, art_museum, non_profit_organization, tourist_attraction",45
Circle Line Sightseeing Cruises,"83 North River Piers West 43rd Street and 12th Ave New York, NY 10036 United States",40.7628574 -74.00150339999999,"boat_tour_agency, cruise_agency, sightseeing_tour_agency, tour_operator, tourist_attraction",0
Charles A. Dana Discovery Center,"Central Park N New York, NY 10029 United States",40.7970821 -73.95147,"visitor_center, fishing_club, tourist_attraction",57
Central Park Zoo,"East 64th Street New York, NY 10021 United States",40.767778 -73.9718335,"zoo, tourist_attraction",0
"New York Studio School of Drawing, Painting and Sculpture","8 W 8th St New York, NY 10011 United States",40.732455 -73.997227,"art_school, school",0
National Museum of the American Indian,"1 Bowling Green New York, NY 10004 United States",40.7039861 -74.01368889999999,"museum, tourist_attraction",0
Yeshiva University Museum,"15 W 16th St New York, NY 10011 United States",40.7380259 -73.993782,"museum, tourist_attraction",0
Tenement Museum,"103 Orchard St New York, NY 10002 United States",40.718818 -73.9900876,"history_museum, museum, tourist_attraction",0
Glen Span Arch,"W 102nd St New York, NY 10025 United States",40.7946676 -73.959232,"bridge, historical_landmark, tourist_attraction",0
Nan Xiang Xiao Long Bao-Manhattan,"24 W 33rd St New York, NY 10001 United States",40.7482492 -73.9864798,restaurant,0
Moynihan Train Hall,"350 W 33rd St New York, NY 10001 United States",40.751713699999996 -73.9957489,train_station,0
Crack Is Wack Playground,"E. 127 St., 2 Ave., and Harlem River Dr New York, NY 10035 United States",40.804134499999996 -73.9319775,"playground, historical_landmark, tourist_attraction",0
Huddlestone Arch,"Loch Walking Path & East Dr New York, NY 10026 United States",40.795764899999995 -73.9556972,historical_landmark,0
Jasper's Taphouse & Kitchen,"761 9th Ave New York, NY 10019 United States",40.7643036 -73.9886324,"american_restaurant, bar, bar_and_grill, beer_hall, restaurant, sports_bar",90
José Julián Martí Statue,"W 59th St & Center Drive New York, NY 10019 United States",40.7660656 -73.9760956,sculpture,0
American Folk Art Museum,"2 Lincoln Square New York, NY 10023 United States",40.773238899999996 -73.9814889,"art_museum, tourist_attraction",0
Delacorte Clock,"East 65th Street and 5th Ave New York, NY 10065 United States",40.7680526 -73.9711028,"tourist_attraction, scenic_spot, sculpture",0
Nan Bei Ho,"212-22 48th Ave Bayside, NY 11364 United States",40.755300999999996 -73.7684541,taiwanese_restaurant,40
Bryant Park Carousel,"35 W 40th St New York, NY 10018 United States",40.7534085 -73.9838838,"amusement_park_ride, childrens_party_service",0
The Museum at FIT,"227 W 27th St New York, NY 10001 United States",40.746449399999996 -73.994427,"art_museum, museum, tourist_attraction",30
One World Observatory,"117 West St New York, NY 10007 United States",40.713006199999995 -74.013173,"tourist_attraction, observation_deck",60
Salmagundi Club,"47 5th Ave New York, NY 10003 United States",40.7343498 -73.9945822,art_gallery,0
Gagosian,"555 W 24th St New York, NY 10011 United States",40.7494887 -74.0058521,art_gallery,0
International Center of Photography Museum,"79 Essex St New York, NY 10002 United States",40.7179913 -73.9886867,"art_museum, art_gallery, art_school, museum",0
The Fearless Girl,"2-26 Broad St New York, NY 10005 United States",40.70679 -74.0108317,tourist_attraction,12
Top of The Rock,"30 Rockefeller Plaza New York, NY 10112 United States",40.7593495 -73.9794087,"observation_deck, event_venue, tourist_attraction",0
Spyscape,"928 8th Ave New York, NY 10019 United States",40.7652697 -73.9837269,"museum, book_store, event_venue, tourist_attraction",90
Museum of Illusions,"77 8th Ave New York, NY 10014 United States",40.7397011 -74.0029842,"museum, art_museum, science_museum",45
Karma,"188 E 2nd St New York, NY 10009 United States",40.7225454 -73.9840627,art_gallery,0
Carrie Bradshaw’s Apartment,"66 Perry St New York, NY 10014 United States",40.735377299999996 -74.0038562,tourist_attraction,10
AKC Museum of the Dog,"101 Park Ave New York, NY 10178 United States",40.7507471 -73.9778707,museum,0
MUSEUM OF ICE CREAM,"558 Broadway New York, NY 10012 United States",40.7238545 -73.99791669999999,"tourist_attraction, museum",75
Pier 51 at Hudson River Park,"Hudson River Greenway New York, NY 10014 United States",40.7382182 -74.0107641,"park, playground, tourist_attraction",45
Pennsylvania Station,"New York, NY 10119 United States",40.750568 -73.99351899999999,train_station,0
Martos Gallery,"41 Elizabeth St New York, NY 10013 United States",40.716971699999995 -73.99700589999999,art_gallery,0
Thomas Paine Park,"Lafayette St & Worth St New York, NY 10007 United States",40.715032099999995 -74.00266169999999,"park, tourist_attraction",22
Fortnight Institute,"21 E 3rd St New York, NY 10003 United States",40.726017999999996 -73.990546,art_gallery,0
Staple Street Skybridge,"9 Jay St New York, NY 10013 United States",40.7182678 -74.0094464,tourist_attraction,15
"Richard Gilder Center for Science, Education, and Innovation","415 Columbus Ave New York, NY 10024 United States",40.781878899999995 -73.9754214,museum,0
Rose Center for Earth and Space,"81st Street between Central Park West and Columbus Avenue New York, NY 10024 United States",40.781761599999996 -73.973086,"natural_history_museum, tourist_attraction",90
SUMMIT One Vanderbilt,"45 E 42nd St New York, NY 10017 United States",40.752764 -73.9787461,"tourist_attraction, art_museum, observatory",60
Fountain House Gallery,"702 9th Ave New York, NY 10019 United States",40.7622557 -73.9896433,"art_gallery, non_profit_organization",0
DTR Modern Galleries,"458 W Broadway New York, NY 10012 United States",40.7263045 -74.0007645,art_gallery,0
Pratt Manhattan Gallery,"144 W 14th St New York, NY 10011 United States",40.7380517 -73.9990279,art_gallery,0
